study_accession	run_accession	scientific_name	instrument_model	library_name	library_layout	library_strategy	read_count
PRJNA485056	SRR7658579	gut metagenome	Illumina HiSeq 2500	A55_01_1FE	PAIRED	WGS	40206034
PRJNA485056	SRR7658580	gut metagenome	Illumina HiSeq 2500	V12_01_2FE	PAIRED	WGS	41200097
PRJNA485056	SRR7658581	gut metagenome	Illumina HiSeq 2500	A32_01_1FE	PAIRED	WGS	37419066
PRJNA485056	SRR7658582	gut metagenome	Illumina HiSeq 2500	A94_01_1FE	PAIRED	WGS	39568976
PRJNA485056	SRR7658583	gut metagenome	Illumina HiSeq 2500	A39_04_1FE	PAIRED	WGS	39642958
PRJNA485056	SRR7658584	gut metagenome	Illumina HiSeq 2500	A04_01_1FE	PAIRED	WGS	39744642
PRJNA485056	SRR7658585	gut metagenome	Illumina HiSeq 2500	A13_03_1FE	PAIRED	WGS	35132312
PRJNA485056	SRR7658586	gut metagenome	Illumina HiSeq 2500	A53_01_1FE	PAIRED	WGS	35645800
PRJNA485056	SRR7658587	gut metagenome	Illumina HiSeq 2500	A70_03_1FE	PAIRED	WGS	36491244
PRJNA485056	SRR7658588	gut metagenome	Illumina HiSeq 2500	A07_01_1FE	PAIRED	WGS	37462940
PRJNA485056	SRR7658589	gut metagenome	Illumina HiSeq 2500	A25_01_1FE	PAIRED	WGS	13128229
PRJNA485056	SRR7658590	gut metagenome	Illumina HiSeq 2500	A62_03_1FE	PAIRED	WGS	12170433
PRJNA485056	SRR7658591	gut metagenome	Illumina HiSeq 2500	A54_02_1FE	PAIRED	WGS	13496703
PRJNA485056	SRR7658592	gut metagenome	Illumina HiSeq 2500	A46_02_1FE	PAIRED	WGS	13449024
PRJNA485056	SRR7658593	gut metagenome	Illumina HiSeq 2500	A58_03_1FE	PAIRED	WGS	13769097
PRJNA485056	SRR7658594	gut metagenome	Illumina HiSeq 2500	A48_05_1FE	PAIRED	WGS	13524703
PRJNA485056	SRR7658595	gut metagenome	Illumina HiSeq 2500	A91_02_1FE	PAIRED	WGS	15428142
PRJNA485056	SRR7658596	gut metagenome	Illumina HiSeq 2500	V07_01_2FE	PAIRED	WGS	14639373
PRJNA485056	SRR7658597	gut metagenome	Illumina HiSeq 2500	A73_01_1FE	PAIRED	WGS	16153106
PRJNA485056	SRR7658598	gut metagenome	Illumina HiSeq 2500	A49_01_1FE	PAIRED	WGS	16058185
PRJNA485056	SRR7658599	gut metagenome	Illumina HiSeq 2500	A34_01_1FE	PAIRED	WGS	9488212
PRJNA485056	SRR7658600	gut metagenome	Illumina HiSeq 2500	A47_01_1FE	PAIRED	WGS	9497517
PRJNA485056	SRR7658601	gut metagenome	Illumina HiSeq 2500	A72_01_1FE	PAIRED	WGS	8915303
PRJNA485056	SRR7658602	gut metagenome	Illumina HiSeq 2500	A43_02_1FE	PAIRED	WGS	9070223
PRJNA485056	SRR7658603	gut metagenome	Illumina HiSeq 2500	A29_01_1FE	PAIRED	WGS	11122450
PRJNA485056	SRR7658604	gut metagenome	Illumina HiSeq 2500	V36_02_2FE	PAIRED	WGS	11347496
PRJNA485056	SRR7658605	gut metagenome	Illumina HiSeq 2500	V48_03_2FE	PAIRED	WGS	10090347
PRJNA485056	SRR7658606	gut metagenome	Illumina HiSeq 2500	A24_02_1FE	PAIRED	WGS	10430583
PRJNA485056	SRR7658607	gut metagenome	Illumina HiSeq 2500	V50_01_2FE	PAIRED	WGS	11765985
PRJNA485056	SRR7658608	gut metagenome	Illumina HiSeq 2500	A70_01_1FE	PAIRED	WGS	12039135
PRJNA485056	SRR7658609	gut metagenome	Illumina HiSeq 2500	A05_01_1FE	PAIRED	WGS	1584218
PRJNA485056	SRR7658610	gut metagenome	Illumina HiSeq 2500	A06_01_1FE	PAIRED	WGS	360210
PRJNA485056	SRR7658611	gut metagenome	Illumina HiSeq 2500	A03_01_1FE	PAIRED	WGS	2784442
PRJNA485056	SRR7658612	gut metagenome	Illumina HiSeq 2500	A82_02_1FE	PAIRED	WGS	2711894
PRJNA485056	SRR7658613	gut metagenome	Illumina HiSeq 2500	A67_01_1FE	PAIRED	WGS	3327665
PRJNA485056	SRR7658614	gut metagenome	Illumina HiSeq 2500	V50_01_1FE	PAIRED	WGS	3048246
PRJNA485056	SRR7658615	gut metagenome	Illumina HiSeq 2500	V07_02_2FE	PAIRED	WGS	4707442
PRJNA485056	SRR7658616	gut metagenome	Illumina HiSeq 2500	V32_02_2FE	PAIRED	WGS	4041738
PRJNA485056	SRR7658617	gut metagenome	Illumina HiSeq 2500	A19_03_1FE	PAIRED	WGS	5334726
PRJNA485056	SRR7658618	gut metagenome	Illumina HiSeq 2500	A24_04_1FE	PAIRED	WGS	4772603
PRJNA485056	SRR7658619	gut metagenome	Illumina HiSeq 2500	A27_02_1FE	PAIRED	WGS	24139089
PRJNA485056	SRR7658620	gut metagenome	Illumina HiSeq 2500	A10_01_1FE	PAIRED	WGS	23631926
PRJNA485056	SRR7658621	gut metagenome	Illumina HiSeq 2500	A81_03_1FE	PAIRED	WGS	23169236
PRJNA485056	SRR7658622	gut metagenome	Illumina HiSeq 2500	A44_01_1FE	PAIRED	WGS	22417749
PRJNA485056	SRR7658623	gut metagenome	Illumina HiSeq 2500	A91_01_1FE	PAIRED	WGS	21991430
PRJNA485056	SRR7658624	gut metagenome	Illumina HiSeq 2500	A20_03_1FE	PAIRED	WGS	21345433
